Connecting to host 52.47.137.100, port 5201
[  5] local 172.31.3.158 port 41404 connected to 52.47.137.100 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  55.5 MBytes   465 Mbits/sec    3    621 KBytes       
[  5]   1.00-2.00   sec  50.0 MBytes   419 Mbits/sec   72    509 KBytes       
[  5]   2.00-3.00   sec  53.8 MBytes   451 Mbits/sec  127    417 KBytes       
[  5]   3.00-4.00   sec  48.8 MBytes   409 Mbits/sec    0    496 KBytes       
[  5]   4.00-5.00   sec  41.2 MBytes   346 Mbits/sec  146    300 KBytes       
[  5]   5.00-6.00   sec  36.2 MBytes   304 Mbits/sec    0    382 KBytes       
[  5]   6.00-7.00   sec  43.8 MBytes   367 Mbits/sec    0    462 KBytes       
[  5]   7.00-8.00   sec  46.2 MBytes   388 Mbits/sec    0    535 KBytes       
[  5]   8.00-9.00   sec  43.8 MBytes   367 Mbits/sec    3    445 KBytes       
[  5]   9.00-10.00  sec  48.8 MBytes   409 Mbits/sec    0    522 KBytes       
[  5]  10.00-11.00  sec  48.8 MBytes   409 Mbits/sec    0    590 KBytes       
[  5]  11.00-12.00  sec  56.2 MBytes   472 Mbits/sec   42    472 KBytes       
[  5]  12.00-13.00  sec  55.0 MBytes   461 Mbits/sec    0    553 KBytes       
[  5]  13.00-14.00  sec  55.0 MBytes   461 Mbits/sec   38    451 KBytes       
[  5]  14.00-15.00  sec  52.5 MBytes   440 Mbits/sec    0    535 KBytes       
[  5]  15.00-16.00  sec  52.5 MBytes   440 Mbits/sec   17    438 KBytes       
[  5]  16.00-17.00  sec  51.2 MBytes   430 Mbits/sec    0    519 KBytes       
[  5]  17.00-18.00  sec  60.0 MBytes   503 Mbits/sec    0    602 KBytes       
[  5]  18.00-19.00  sec  66.2 MBytes   556 Mbits/sec    0    683 KBytes       
[  5]  19.00-20.00  sec  58.8 MBytes   493 Mbits/sec   62    266 KBytes       
[  5]  20.00-21.00  sec  33.8 MBytes   283 Mbits/sec    0    352 KBytes       
[  5]  21.00-22.00  sec  26.2 MBytes   220 Mbits/sec   17    246 KBytes       
[  5]  22.00-23.00  sec  32.5 MBytes   273 Mbits/sec    0    331 KBytes       
[  5]  23.00-24.00  sec  40.0 MBytes   336 Mbits/sec    0    416 KBytes       
[  5]  24.00-25.00  sec  40.0 MBytes   336 Mbits/sec   80    362 KBytes       
[  5]  25.00-26.00  sec  43.8 MBytes   367 Mbits/sec    0    445 KBytes       
[  5]  26.00-27.00  sec  52.5 MBytes   440 Mbits/sec    0    530 KBytes       
[  5]  27.00-28.00  sec  61.2 MBytes   514 Mbits/sec    0    614 KBytes       
[  5]  28.00-29.00  sec  70.0 MBytes   587 Mbits/sec    0    696 KBytes       
[  5]  29.00-30.00  sec  66.2 MBytes   556 Mbits/sec   16    554 KBytes       
[  5]  30.00-31.00  sec  52.5 MBytes   440 Mbits/sec  156    448 KBytes       
[  5]  31.00-32.00  sec  53.8 MBytes   451 Mbits/sec    0    533 KBytes       
[  5]  32.00-33.00  sec  61.2 MBytes   514 Mbits/sec    0    615 KBytes       
[  5]  33.00-34.00  sec  71.2 MBytes   598 Mbits/sec    0    700 KBytes       
[  5]  34.00-35.00  sec  66.2 MBytes   556 Mbits/sec    8    556 KBytes       
[  5]  35.00-36.00  sec  46.2 MBytes   388 Mbits/sec  144    465 KBytes       
[  5]  36.00-37.00  sec  51.2 MBytes   430 Mbits/sec    0    544 KBytes       
[  5]  37.00-38.00  sec  46.2 MBytes   388 Mbits/sec  105    454 KBytes       
[  5]  38.00-39.00  sec  41.2 MBytes   346 Mbits/sec   17    397 KBytes       
[  5]  39.00-40.00  sec  38.8 MBytes   325 Mbits/sec   96    349 KBytes       
[  5]  40.00-41.00  sec  42.5 MBytes   357 Mbits/sec    0    434 KBytes       
[  5]  41.00-42.00  sec  51.2 MBytes   430 Mbits/sec    0    516 KBytes       
[  5]  42.00-43.00  sec  60.0 MBytes   503 Mbits/sec    0    600 KBytes       
[  5]  43.00-44.00  sec  53.8 MBytes   451 Mbits/sec  175    492 KBytes       
[  5]  44.00-45.00  sec  53.8 MBytes   451 Mbits/sec   24    400 KBytes       
[  5]  45.00-46.00  sec  48.8 MBytes   409 Mbits/sec    0    484 KBytes       
[  5]  46.00-47.00  sec  56.2 MBytes   472 Mbits/sec    0    567 KBytes       
[  5]  47.00-48.00  sec  66.2 MBytes   556 Mbits/sec    0    650 KBytes       
[  5]  48.00-49.00  sec  38.8 MBytes   325 Mbits/sec   30    397 KBytes       
[  5]  49.00-50.00  sec  41.2 MBytes   346 Mbits/sec   88    344 KBytes       
[  5]  50.00-51.00  sec  35.0 MBytes   294 Mbits/sec   54    305 KBytes       
[  5]  51.00-52.00  sec  38.8 MBytes   325 Mbits/sec    0    390 KBytes       
[  5]  52.00-53.00  sec  46.2 MBytes   388 Mbits/sec    0    472 KBytes       
[  5]  53.00-54.00  sec  56.2 MBytes   472 Mbits/sec    0    556 KBytes       
[  5]  54.00-55.00  sec  37.5 MBytes   315 Mbits/sec   50    339 KBytes       
[  5]  55.00-56.00  sec  40.0 MBytes   336 Mbits/sec    0    421 KBytes       
[  5]  56.00-57.00  sec  45.0 MBytes   377 Mbits/sec    2    496 KBytes       
[  5]  57.00-58.00  sec  46.2 MBytes   388 Mbits/sec    0    561 KBytes       
[  5]  58.00-59.00  sec  46.2 MBytes   388 Mbits/sec    0    622 KBytes       
[  5]  59.00-60.00  sec  46.2 MBytes   388 Mbits/sec    0    677 KBytes       
[  5]  60.00-61.00  sec  47.5 MBytes   398 Mbits/sec    0    730 KBytes       
[  5]  61.00-62.00  sec  53.8 MBytes   451 Mbits/sec    0    783 KBytes       
[  5]  62.00-63.00  sec  76.2 MBytes   640 Mbits/sec    0    857 KBytes       
[  5]  63.00-64.00  sec  76.2 MBytes   640 Mbits/sec    0    921 KBytes       
[  5]  64.00-65.00  sec  51.2 MBytes   430 Mbits/sec   66    529 KBytes       
[  5]  65.00-66.00  sec  45.0 MBytes   377 Mbits/sec   49    437 KBytes       
