Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.43.179 port 55104 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  6.83 MBytes  57.3 Mbits/sec  417    847 KBytes       
[  5]   1.00-2.00   sec  7.50 MBytes  62.9 Mbits/sec    0    653 KBytes       
[  5]   2.00-3.00   sec  7.50 MBytes  62.9 Mbits/sec    0    691 KBytes       
[  5]   3.00-4.00   sec  7.50 MBytes  62.9 Mbits/sec    0    713 KBytes       
[  5]   4.00-5.00   sec  8.75 MBytes  73.4 Mbits/sec    0    727 KBytes       
[  5]   5.00-6.00   sec  8.75 MBytes  73.4 Mbits/sec    0    731 KBytes       
[  5]   6.00-7.00   sec  7.50 MBytes  62.9 Mbits/sec   11    525 KBytes       
[  5]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec    0    595 KBytes       
[  5]   8.00-9.00   sec  7.50 MBytes  62.9 Mbits/sec    0    652 KBytes       
[  5]   9.00-10.00  sec  7.50 MBytes  62.9 Mbits/sec    0    690 KBytes       
[  5]  10.00-11.00  sec  7.50 MBytes  62.9 Mbits/sec    0    713 KBytes       
[  5]  11.00-12.00  sec  8.75 MBytes  73.4 Mbits/sec    0    727 KBytes       
[  5]  12.00-13.00  sec  7.50 MBytes  62.9 Mbits/sec    0    731 KBytes       
[  5]  13.00-14.00  sec  8.75 MBytes  73.4 Mbits/sec    0    731 KBytes       
[  5]  14.00-15.00  sec  8.75 MBytes  73.4 Mbits/sec    0    731 KBytes       
[  5]  15.00-16.00  sec  7.50 MBytes  62.9 Mbits/sec    0    734 KBytes       
[  5]  16.00-17.00  sec  8.75 MBytes  73.4 Mbits/sec    0    744 KBytes       
[  5]  17.00-18.00  sec  8.75 MBytes  73.4 Mbits/sec    0    762 KBytes       
[  5]  18.00-19.00  sec  8.75 MBytes  73.4 Mbits/sec    0    793 KBytes       
[  5]  19.00-20.00  sec  10.0 MBytes  83.9 Mbits/sec    0    840 KBytes       
[  5]  20.00-21.00  sec  10.0 MBytes  83.9 Mbits/sec    0    909 KBytes       
[  5]  21.00-22.00  sec  10.0 MBytes  83.9 Mbits/sec   10    684 KBytes       
[  5]  22.00-23.00  sec  7.50 MBytes  62.9 Mbits/sec    0    781 KBytes       
[  5]  23.00-24.00  sec  10.0 MBytes  83.9 Mbits/sec    0    854 KBytes       
[  5]  24.00-25.00  sec  10.0 MBytes  83.9 Mbits/sec    0    906 KBytes       
[  5]  25.00-26.00  sec  10.0 MBytes  83.9 Mbits/sec    0    942 KBytes       
[  5]  26.00-27.00  sec  11.2 MBytes  94.4 Mbits/sec    0    962 KBytes       
[  5]  27.00-28.00  sec  11.2 MBytes  94.4 Mbits/sec    0    974 KBytes       
[  5]  28.00-29.00  sec  8.75 MBytes  73.4 Mbits/sec    6    704 KBytes       
[  5]  29.00-30.00  sec  8.75 MBytes  73.4 Mbits/sec   64    530 KBytes       
