Connecting to host 3.8.16.233, port 5201
[  5] local 172.31.42.26 port 39016 connected to 3.8.16.233 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  40.6 MBytes   340 Mbits/sec  155    605 KBytes       
[  5]   1.00-2.00   sec  45.0 MBytes   377 Mbits/sec    0    666 KBytes       
[  5]   2.00-3.00   sec  47.5 MBytes   398 Mbits/sec    0    710 KBytes       
[  5]   3.00-4.00   sec  51.2 MBytes   430 Mbits/sec    0    738 KBytes       
[  5]   4.00-5.00   sec  53.8 MBytes   451 Mbits/sec    0    793 KBytes       
[  5]   5.00-6.00   sec  43.8 MBytes   367 Mbits/sec   50    631 KBytes       
[  5]   6.00-7.00   sec  46.2 MBytes   388 Mbits/sec    0    696 KBytes       
[  5]   7.00-8.00   sec  50.0 MBytes   419 Mbits/sec    0    742 KBytes       
[  5]   8.00-9.00   sec  43.8 MBytes   367 Mbits/sec    5    559 KBytes       
[  5]   9.00-10.00  sec  41.2 MBytes   346 Mbits/sec    0    611 KBytes       
[  5]  10.00-11.00  sec  45.0 MBytes   377 Mbits/sec    0    663 KBytes       
[  5]  11.00-12.00  sec  47.5 MBytes   398 Mbits/sec    0    717 KBytes       
[  5]  12.00-13.00  sec  51.2 MBytes   430 Mbits/sec    0    769 KBytes       
[  5]  13.00-14.00  sec  47.5 MBytes   398 Mbits/sec   24    602 KBytes       
[  5]  14.00-15.00  sec  45.0 MBytes   377 Mbits/sec    0    675 KBytes       
[  5]  15.00-16.00  sec  32.5 MBytes   273 Mbits/sec   31    372 KBytes       
[  5]  16.00-17.00  sec  28.8 MBytes   241 Mbits/sec    0    427 KBytes       
[  5]  17.00-18.00  sec  31.2 MBytes   262 Mbits/sec    0    481 KBytes       
[  5]  18.00-19.00  sec  36.2 MBytes   304 Mbits/sec    0    535 KBytes       
[  5]  19.00-20.00  sec  40.0 MBytes   336 Mbits/sec    0    588 KBytes       
[  5]  20.00-21.00  sec  42.5 MBytes   357 Mbits/sec    0    642 KBytes       
[  5]  21.00-22.00  sec  46.2 MBytes   388 Mbits/sec    0    696 KBytes       
[  5]  22.00-23.00  sec  51.2 MBytes   430 Mbits/sec    0    749 KBytes       
[  5]  23.00-24.00  sec  55.0 MBytes   461 Mbits/sec    0    805 KBytes       
[  5]  24.00-25.00  sec  52.5 MBytes   440 Mbits/sec   42    617 KBytes       
[  5]  25.00-26.00  sec  46.2 MBytes   388 Mbits/sec    0    696 KBytes       
[  5]  26.00-27.00  sec  50.0 MBytes   419 Mbits/sec    0    755 KBytes       
[  5]  27.00-28.00  sec  55.0 MBytes   461 Mbits/sec    0    795 KBytes       
[  5]  28.00-29.00  sec  52.5 MBytes   440 Mbits/sec   68    581 KBytes       
[  5]  29.00-30.00  sec  41.2 MBytes   346 Mbits/sec   45    444 KBytes       
[  5]  30.00-31.00  sec  32.5 MBytes   273 Mbits/sec    0    496 KBytes       
[  5]  31.00-32.00  sec  30.0 MBytes   252 Mbits/sec   30    393 KBytes       
[  5]  32.00-33.00  sec  28.8 MBytes   241 Mbits/sec    0    447 KBytes       
[  5]  33.00-34.00  sec  33.8 MBytes   283 Mbits/sec    0    502 KBytes       
[  5]  34.00-35.00  sec  36.2 MBytes   304 Mbits/sec    0    556 KBytes       
[  5]  35.00-36.00  sec  41.2 MBytes   346 Mbits/sec    0    609 KBytes       
[  5]  36.00-37.00  sec  32.5 MBytes   273 Mbits/sec   52    494 KBytes       
[  5]  37.00-38.00  sec  37.5 MBytes   315 Mbits/sec    0    544 KBytes       
[  5]  38.00-39.00  sec  38.8 MBytes   325 Mbits/sec    0    585 KBytes       
[  5]  39.00-40.00  sec  42.5 MBytes   357 Mbits/sec    0    639 KBytes       
[  5]  40.00-41.00  sec  46.2 MBytes   388 Mbits/sec    0    691 KBytes       
[  5]  41.00-42.00  sec  38.8 MBytes   325 Mbits/sec   96    385 KBytes       
[  5]  42.00-43.00  sec  28.8 MBytes   241 Mbits/sec    0    437 KBytes       
[  5]  43.00-44.00  sec  32.5 MBytes   273 Mbits/sec    0    491 KBytes       
[  5]  44.00-45.00  sec  37.5 MBytes   315 Mbits/sec    0    544 KBytes       
[  5]  45.00-46.00  sec  35.0 MBytes   294 Mbits/sec    6    431 KBytes       
[  5]  46.00-47.00  sec  32.5 MBytes   273 Mbits/sec    0    489 KBytes       
[  5]  47.00-48.00  sec  36.2 MBytes   304 Mbits/sec    0    532 KBytes       
[  5]  48.00-49.00  sec  38.8 MBytes   325 Mbits/sec    0    585 KBytes       
[  5]  49.00-50.00  sec  42.5 MBytes   357 Mbits/sec    0    639 KBytes       
[  5]  50.00-51.00  sec  42.5 MBytes   357 Mbits/sec   21    496 KBytes       
[  5]  51.00-52.00  sec  37.5 MBytes   315 Mbits/sec    0    564 KBytes       
[  5]  52.00-53.00  sec  42.5 MBytes   357 Mbits/sec    0    612 KBytes       
[  5]  53.00-54.00  sec  43.8 MBytes   367 Mbits/sec    0    649 KBytes       
[  5]  54.00-55.00  sec  47.5 MBytes   398 Mbits/sec    0    701 KBytes       
[  5]  55.00-56.00  sec  38.8 MBytes   325 Mbits/sec    6    563 KBytes       
[  5]  56.00-57.00  sec  41.2 MBytes   346 Mbits/sec    0    622 KBytes       
[  5]  57.00-58.00  sec  37.5 MBytes   315 Mbits/sec   21    479 KBytes       
[  5]  58.00-59.00  sec  26.2 MBytes   220 Mbits/sec   70    383 KBytes       
[  5]  59.00-60.00  sec  28.8 MBytes   241 Mbits/sec    0    438 KBytes       
[  5]  60.00-61.00  sec  32.5 MBytes   273 Mbits/sec    0    491 KBytes       
[  5]  61.00-62.00  sec  36.2 MBytes   304 Mbits/sec    0    546 KBytes       
[  5]  62.00-63.00  sec  41.2 MBytes   346 Mbits/sec    0    600 KBytes       
[  5]  63.00-64.00  sec  42.5 MBytes   357 Mbits/sec   12    495 KBytes       
[  5]  64.00-65.00  sec  35.0 MBytes   294 Mbits/sec    0    529 KBytes       
[  5]  65.00-66.00  sec  40.0 MBytes   336 Mbits/sec    0    581 KBytes       
[  5]  66.00-67.00  sec  41.2 MBytes   346 Mbits/sec    0    617 KBytes       
[  5]  67.00-68.00  sec  45.0 MBytes   377 Mbits/sec    0    672 KBytes       
[  5]  68.00-69.00  sec  45.0 MBytes   377 Mbits/sec   10    518 KBytes       
[  5]  69.00-70.00  sec  36.2 MBytes   304 Mbits/sec    8    411 KBytes       
[  5]  70.00-71.00  sec  30.0 MBytes   252 Mbits/sec    0    465 KBytes       
[  5]  71.00-72.00  sec  23.8 MBytes   199 Mbits/sec   24    266 KBytes       
[  5]  72.00-73.00  sec  20.0 MBytes   168 Mbits/sec    0    320 KBytes       
[  5]  73.00-74.00  sec  25.0 MBytes   210 Mbits/sec    0    375 KBytes       
[  5]  74.00-75.00  sec  28.8 MBytes   241 Mbits/sec    0    430 KBytes       
[  5]  75.00-76.00  sec  31.2 MBytes   262 Mbits/sec    0    484 KBytes       
[  5]  76.00-77.00  sec  36.2 MBytes   304 Mbits/sec    0    536 KBytes       
[  5]  77.00-78.00  sec  35.0 MBytes   294 Mbits/sec    7    427 KBytes       
[  5]  78.00-79.00  sec  31.2 MBytes   262 Mbits/sec    0    484 KBytes       
[  5]  79.00-80.00  sec  33.8 MBytes   283 Mbits/sec   24    370 KBytes       
[  5]  80.00-81.00  sec  27.5 MBytes   231 Mbits/sec   33    297 KBytes       
[  5]  81.00-82.00  sec  22.5 MBytes   189 Mbits/sec    0    349 KBytes       
[  5]  82.00-83.00  sec  26.2 MBytes   220 Mbits/sec    0    403 KBytes       
[  5]  83.00-84.00  sec  30.0 MBytes   252 Mbits/sec    0    458 KBytes       
[  5]  84.00-85.00  sec  35.0 MBytes   294 Mbits/sec    0    512 KBytes       
[  5]  85.00-86.00  sec  37.5 MBytes   315 Mbits/sec    0    566 KBytes       
