PING 35.242.176.77 (35.242.176.77) 56(84) bytes of data.
64 bytes from 35.242.176.77: icmp_seq=1 ttl=59 time=3.32 ms
64 bytes from 35.242.176.77: icmp_seq=2 ttl=59 time=2.65 ms
64 bytes from 35.242.176.77: icmp_seq=3 ttl=59 time=2.55 ms
64 bytes from 35.242.176.77: icmp_seq=4 ttl=59 time=2.28 ms
64 bytes from 35.242.176.77: icmp_seq=5 ttl=59 time=2.38 ms
64 bytes from 35.242.176.77: icmp_seq=6 ttl=59 time=2.34 ms
64 bytes from 35.242.176.77: icmp_seq=7 ttl=59 time=2.45 ms
64 bytes from 35.242.176.77: icmp_seq=8 ttl=59 time=2.36 ms
64 bytes from 35.242.176.77: icmp_seq=9 ttl=59 time=2.81 ms
64 bytes from 35.242.176.77: icmp_seq=10 ttl=59 time=2.36 ms
64 bytes from 35.242.176.77: icmp_seq=11 ttl=59 time=2.55 ms
64 bytes from 35.242.176.77: icmp_seq=12 ttl=59 time=2.33 ms
64 bytes from 35.242.176.77: icmp_seq=13 ttl=59 time=2.36 ms
64 bytes from 35.242.176.77: icmp_seq=14 ttl=59 time=2.63 ms
64 bytes from 35.242.176.77: icmp_seq=15 ttl=59 time=2.32 ms
64 bytes from 35.242.176.77: icmp_seq=16 ttl=59 time=2.32 ms
64 bytes from 35.242.176.77: icmp_seq=17 ttl=59 time=2.37 ms
64 bytes from 35.242.176.77: icmp_seq=18 ttl=59 time=2.33 ms
64 bytes from 35.242.176.77: icmp_seq=19 ttl=59 time=2.33 ms
64 bytes from 35.242.176.77: icmp_seq=20 ttl=59 time=2.74 ms
64 bytes from 35.242.176.77: icmp_seq=21 ttl=59 time=2.39 ms
64 bytes from 35.242.176.77: icmp_seq=22 ttl=59 time=2.27 ms
64 bytes from 35.242.176.77: icmp_seq=23 ttl=59 time=2.38 ms
64 bytes from 35.242.176.77: icmp_seq=24 ttl=59 time=2.28 ms
64 bytes from 35.242.176.77: icmp_seq=25 ttl=59 time=2.57 ms
64 bytes from 35.242.176.77: icmp_seq=26 ttl=59 time=2.36 ms
