Connecting to host 3.122.54.42, port 5201
[  5] local 10.154.0.2 port 38062 connected to 3.122.54.42 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  21.9 MBytes   183 Mbits/sec  571    208 KBytes       
[  5]   1.00-2.00   sec  10.0 MBytes  83.9 Mbits/sec    0    235 KBytes       
[  5]   2.00-3.00   sec  10.0 MBytes  83.9 Mbits/sec    0    268 KBytes       
[  5]   3.00-4.00   sec  11.2 MBytes  94.4 Mbits/sec    1    213 KBytes       
[  5]   4.00-5.00   sec  10.0 MBytes  83.9 Mbits/sec    0    252 KBytes       
[  5]   5.00-6.00   sec  8.75 MBytes  73.4 Mbits/sec    1    198 KBytes       
[  5]   6.00-7.00   sec  8.75 MBytes  73.4 Mbits/sec    1    161 KBytes       
[  5]   7.00-8.00   sec  5.00 MBytes  41.9 Mbits/sec    1    139 KBytes       
[  5]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0    170 KBytes       
[  5]   9.00-10.00  sec  8.75 MBytes  73.4 Mbits/sec    0    201 KBytes       
[  5]  10.00-11.00  sec  8.75 MBytes  73.4 Mbits/sec    2    116 KBytes       
[  5]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0    146 KBytes       
[  5]  12.00-13.00  sec  5.00 MBytes  41.9 Mbits/sec    2   88.0 KBytes       
[  5]  13.00-14.00  sec  3.75 MBytes  31.5 Mbits/sec    2   66.0 KBytes       
[  5]  14.00-15.00  sec  2.50 MBytes  21.0 Mbits/sec    0   97.6 KBytes       
[  5]  15.00-16.00  sec  5.00 MBytes  41.9 Mbits/sec    0    129 KBytes       
[  5]  16.00-17.00  sec  6.25 MBytes  52.4 Mbits/sec    0    160 KBytes       
[  5]  17.00-18.00  sec  6.25 MBytes  52.4 Mbits/sec    1    136 KBytes       
[  5]  18.00-19.00  sec  6.25 MBytes  52.4 Mbits/sec    1    114 KBytes       
[  5]  19.00-20.00  sec  5.00 MBytes  41.9 Mbits/sec    2    104 KBytes       
[  5]  20.00-21.00  sec  5.00 MBytes  41.9 Mbits/sec    0    133 KBytes       
[  5]  21.00-22.00  sec  5.00 MBytes  41.9 Mbits/sec    1    121 KBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.5 Mbits/sec    2    113 KBytes       
[  5]  23.00-24.00  sec  6.25 MBytes  52.4 Mbits/sec    0    144 KBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    1    129 KBytes       
[  5]  25.00-26.00  sec  6.25 MBytes  52.4 Mbits/sec    0    161 KBytes       
[  5]  26.00-27.00  sec  6.25 MBytes  52.4 Mbits/sec    0    192 KBytes       
[  5]  27.00-28.00  sec  8.75 MBytes  73.4 Mbits/sec    2    158 KBytes       
[  5]  28.00-29.00  sec  6.25 MBytes  52.4 Mbits/sec    1    136 KBytes       
[  5]  29.00-30.00  sec  6.25 MBytes  52.4 Mbits/sec    1    118 KBytes       
[  5]  30.00-31.00  sec  5.00 MBytes  41.9 Mbits/sec    0    147 KBytes       
[  5]  31.00-32.00  sec  5.00 MBytes  41.9 Mbits/sec    2   92.1 KBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0    122 KBytes       
[  5]  33.00-34.00  sec  6.25 MBytes  52.4 Mbits/sec    0    154 KBytes       
[  5]  34.00-35.00  sec  7.50 MBytes  62.9 Mbits/sec    0    186 KBytes       
[  5]  35.00-36.00  sec  7.50 MBytes  62.9 Mbits/sec    0    216 KBytes       
[  5]  36.00-37.00  sec  10.0 MBytes  83.9 Mbits/sec    1    177 KBytes       
[  5]  37.00-38.00  sec  7.50 MBytes  62.9 Mbits/sec    1    146 KBytes       
[  5]  38.00-39.00  sec  6.25 MBytes  52.4 Mbits/sec    0    176 KBytes       
[  5]  39.00-40.00  sec  8.75 MBytes  73.4 Mbits/sec    1    144 KBytes       
[  5]  40.00-41.00  sec  6.25 MBytes  52.4 Mbits/sec    0    177 KBytes       
[  5]  41.00-42.00  sec  7.50 MBytes  62.9 Mbits/sec    1    146 KBytes       
[  5]  42.00-43.00  sec  6.25 MBytes  52.4 Mbits/sec    0    177 KBytes       
[  5]  43.00-44.00  sec  6.25 MBytes  52.4 Mbits/sec    2    153 KBytes       
[  5]  44.00-45.00  sec  7.50 MBytes  62.9 Mbits/sec    0    180 KBytes       
[  5]  45.00-46.00  sec  7.50 MBytes  62.9 Mbits/sec    1    154 KBytes       
[  5]  46.00-47.00  sec  6.25 MBytes  52.4 Mbits/sec    0    182 KBytes       
[  5]  47.00-48.00  sec  8.75 MBytes  73.4 Mbits/sec    1    151 KBytes       
[  5]  48.00-49.00  sec  6.25 MBytes  52.4 Mbits/sec    0    183 KBytes       
[  5]  49.00-50.00  sec  6.25 MBytes  52.4 Mbits/sec    2    106 KBytes       
[  5]  50.00-51.00  sec  6.25 MBytes  52.4 Mbits/sec    0    138 KBytes       
[  5]  51.00-52.00  sec  5.00 MBytes  41.9 Mbits/sec    1    121 KBytes       
[  5]  52.00-53.00  sec  5.00 MBytes  41.9 Mbits/sec    1    109 KBytes       
[  5]  53.00-54.00  sec  5.00 MBytes  41.9 Mbits/sec    1   97.6 KBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0    128 KBytes       
[  5]  55.00-56.00  sec  6.25 MBytes  52.4 Mbits/sec    0    160 KBytes       
