PING 3.8.167.46 (3.8.167.46) 56(84) bytes of data.
64 bytes from 3.8.167.46: icmp_seq=1 ttl=52 time=2.92 ms
64 bytes from 3.8.167.46: icmp_seq=2 ttl=52 time=2.28 ms
64 bytes from 3.8.167.46: icmp_seq=3 ttl=52 time=2.27 ms
64 bytes from 3.8.167.46: icmp_seq=4 ttl=52 time=2.19 ms
64 bytes from 3.8.167.46: icmp_seq=5 ttl=52 time=2.48 ms
64 bytes from 3.8.167.46: icmp_seq=6 ttl=52 time=2.40 ms
64 bytes from 3.8.167.46: icmp_seq=7 ttl=52 time=2.76 ms
64 bytes from 3.8.167.46: icmp_seq=8 ttl=52 time=2.19 ms
64 bytes from 3.8.167.46: icmp_seq=9 ttl=52 time=2.17 ms
64 bytes from 3.8.167.46: icmp_seq=10 ttl=52 time=2.44 ms
64 bytes from 3.8.167.46: icmp_seq=11 ttl=52 time=2.13 ms
64 bytes from 3.8.167.46: icmp_seq=12 ttl=52 time=2.06 ms
64 bytes from 3.8.167.46: icmp_seq=13 ttl=52 time=2.14 ms
64 bytes from 3.8.167.46: icmp_seq=14 ttl=52 time=2.04 ms
64 bytes from 3.8.167.46: icmp_seq=15 ttl=52 time=2.18 ms
64 bytes from 3.8.167.46: icmp_seq=16 ttl=52 time=2.08 ms
64 bytes from 3.8.167.46: icmp_seq=17 ttl=52 time=2.60 ms
64 bytes from 3.8.167.46: icmp_seq=18 ttl=52 time=2.77 ms
64 bytes from 3.8.167.46: icmp_seq=19 ttl=52 time=2.12 ms
64 bytes from 3.8.167.46: icmp_seq=20 ttl=52 time=2.28 ms
64 bytes from 3.8.167.46: icmp_seq=21 ttl=52 time=2.30 ms
64 bytes from 3.8.167.46: icmp_seq=22 ttl=52 time=2.18 ms
64 bytes from 3.8.167.46: icmp_seq=23 ttl=52 time=2.45 ms
64 bytes from 3.8.167.46: icmp_seq=24 ttl=52 time=2.97 ms
64 bytes from 3.8.167.46: icmp_seq=25 ttl=52 time=2.94 ms
64 bytes from 3.8.167.46: icmp_seq=26 ttl=52 time=2.76 ms
64 bytes from 3.8.167.46: icmp_seq=27 ttl=52 time=4.12 ms
64 bytes from 3.8.167.46: icmp_seq=28 ttl=52 time=2.33 ms
64 bytes from 3.8.167.46: icmp_seq=29 ttl=52 time=2.07 ms
64 bytes from 3.8.167.46: icmp_seq=30 ttl=52 time=2.18 ms
64 bytes from 3.8.167.46: icmp_seq=31 ttl=52 time=2.14 ms
64 bytes from 3.8.167.46: icmp_seq=32 ttl=52 time=2.34 ms
64 bytes from 3.8.167.46: icmp_seq=33 ttl=52 time=2.10 ms
64 bytes from 3.8.167.46: icmp_seq=34 ttl=52 time=2.31 ms
64 bytes from 3.8.167.46: icmp_seq=35 ttl=52 time=2.25 ms
64 bytes from 3.8.167.46: icmp_seq=36 ttl=52 time=2.37 ms
64 bytes from 3.8.167.46: icmp_seq=37 ttl=52 time=2.26 ms
64 bytes from 3.8.167.46: icmp_seq=38 ttl=52 time=2.75 ms
64 bytes from 3.8.167.46: icmp_seq=39 ttl=52 time=2.38 ms
64 bytes from 3.8.167.46: icmp_seq=40 ttl=52 time=2.05 ms
64 bytes from 3.8.167.46: icmp_seq=41 ttl=52 time=2.43 ms
