PING 13.233.231.202 (13.233.231.202) 56(84) bytes of data.
64 bytes from 13.233.231.202: icmp_seq=1 ttl=52 time=3.12 ms
64 bytes from 13.233.231.202: icmp_seq=2 ttl=52 time=4.06 ms
64 bytes from 13.233.231.202: icmp_seq=3 ttl=52 time=3.67 ms
64 bytes from 13.233.231.202: icmp_seq=4 ttl=52 time=2.78 ms
64 bytes from 13.233.231.202: icmp_seq=5 ttl=52 time=4.14 ms
64 bytes from 13.233.231.202: icmp_seq=6 ttl=52 time=5.82 ms
64 bytes from 13.233.231.202: icmp_seq=7 ttl=52 time=6.82 ms
64 bytes from 13.233.231.202: icmp_seq=8 ttl=52 time=5.02 ms
64 bytes from 13.233.231.202: icmp_seq=9 ttl=52 time=5.31 ms
64 bytes from 13.233.231.202: icmp_seq=10 ttl=52 time=4.82 ms
64 bytes from 13.233.231.202: icmp_seq=11 ttl=52 time=3.76 ms
64 bytes from 13.233.231.202: icmp_seq=12 ttl=52 time=4.07 ms
64 bytes from 13.233.231.202: icmp_seq=13 ttl=52 time=5.77 ms
64 bytes from 13.233.231.202: icmp_seq=14 ttl=52 time=5.76 ms
64 bytes from 13.233.231.202: icmp_seq=15 ttl=52 time=5.61 ms
64 bytes from 13.233.231.202: icmp_seq=16 ttl=52 time=4.86 ms
64 bytes from 13.233.231.202: icmp_seq=17 ttl=52 time=6.52 ms
64 bytes from 13.233.231.202: icmp_seq=18 ttl=52 time=3.59 ms
64 bytes from 13.233.231.202: icmp_seq=19 ttl=52 time=3.11 ms
64 bytes from 13.233.231.202: icmp_seq=20 ttl=52 time=5.43 ms
64 bytes from 13.233.231.202: icmp_seq=21 ttl=52 time=4.62 ms
64 bytes from 13.233.231.202: icmp_seq=22 ttl=52 time=5.02 ms
64 bytes from 13.233.231.202: icmp_seq=23 ttl=52 time=3.30 ms
64 bytes from 13.233.231.202: icmp_seq=24 ttl=52 time=4.91 ms
64 bytes from 13.233.231.202: icmp_seq=25 ttl=52 time=6.43 ms
64 bytes from 13.233.231.202: icmp_seq=26 ttl=52 time=3.96 ms
64 bytes from 13.233.231.202: icmp_seq=27 ttl=52 time=4.85 ms
64 bytes from 13.233.231.202: icmp_seq=28 ttl=52 time=5.71 ms
64 bytes from 13.233.231.202: icmp_seq=29 ttl=52 time=4.10 ms
64 bytes from 13.233.231.202: icmp_seq=30 ttl=52 time=5.45 ms
64 bytes from 13.233.231.202: icmp_seq=31 ttl=52 time=5.71 ms
64 bytes from 13.233.231.202: icmp_seq=32 ttl=52 time=9.18 ms
64 bytes from 13.233.231.202: icmp_seq=33 ttl=52 time=5.16 ms
64 bytes from 13.233.231.202: icmp_seq=34 ttl=52 time=4.15 ms
64 bytes from 13.233.231.202: icmp_seq=35 ttl=52 time=4.51 ms
64 bytes from 13.233.231.202: icmp_seq=36 ttl=52 time=3.81 ms
64 bytes from 13.233.231.202: icmp_seq=37 ttl=52 time=2.83 ms
64 bytes from 13.233.231.202: icmp_seq=38 ttl=52 time=3.45 ms
64 bytes from 13.233.231.202: icmp_seq=39 ttl=52 time=5.39 ms
64 bytes from 13.233.231.202: icmp_seq=40 ttl=52 time=4.68 ms
64 bytes from 13.233.231.202: icmp_seq=41 ttl=52 time=3.35 ms
64 bytes from 13.233.231.202: icmp_seq=42 ttl=52 time=4.60 ms
64 bytes from 13.233.231.202: icmp_seq=43 ttl=52 time=4.18 ms
64 bytes from 13.233.231.202: icmp_seq=44 ttl=52 time=3.91 ms
64 bytes from 13.233.231.202: icmp_seq=45 ttl=52 time=5.98 ms
64 bytes from 13.233.231.202: icmp_seq=46 ttl=52 time=5.62 ms
64 bytes from 13.233.231.202: icmp_seq=47 ttl=52 time=2.93 ms
64 bytes from 13.233.231.202: icmp_seq=48 ttl=52 time=3.64 ms
64 bytes from 13.233.231.202: icmp_seq=49 ttl=52 time=3.75 ms
64 bytes from 13.233.231.202: icmp_seq=50 ttl=52 time=4.17 ms
64 bytes from 13.233.231.202: icmp_seq=51 ttl=52 time=3.98 ms
64 bytes from 13.233.231.202: icmp_seq=52 ttl=52 time=3.74 ms
64 bytes from 13.233.231.202: icmp_seq=53 ttl=52 time=2.79 ms
64 bytes from 13.233.231.202: icmp_seq=54 ttl=52 time=7.71 ms
64 bytes from 13.233.231.202: icmp_seq=55 ttl=52 time=2.93 ms
64 bytes from 13.233.231.202: icmp_seq=56 ttl=52 time=5.54 ms
64 bytes from 13.233.231.202: icmp_seq=57 ttl=52 time=4.66 ms
64 bytes from 13.233.231.202: icmp_seq=58 ttl=52 time=4.08 ms
64 bytes from 13.233.231.202: icmp_seq=59 ttl=52 time=2.66 ms
64 bytes from 13.233.231.202: icmp_seq=61 ttl=52 time=6.30 ms
64 bytes from 13.233.231.202: icmp_seq=62 ttl=52 time=8.09 ms
64 bytes from 13.233.231.202: icmp_seq=63 ttl=52 time=3.64 ms
64 bytes from 13.233.231.202: icmp_seq=64 ttl=52 time=3.46 ms
64 bytes from 13.233.231.202: icmp_seq=65 ttl=52 time=4.73 ms
64 bytes from 13.233.231.202: icmp_seq=66 ttl=52 time=3.72 ms
64 bytes from 13.233.231.202: icmp_seq=67 ttl=52 time=2.91 ms
64 bytes from 13.233.231.202: icmp_seq=68 ttl=52 time=3.54 ms
64 bytes from 13.233.231.202: icmp_seq=69 ttl=52 time=4.60 ms
64 bytes from 13.233.231.202: icmp_seq=70 ttl=52 time=3.87 ms
64 bytes from 13.233.231.202: icmp_seq=71 ttl=52 time=3.73 ms
64 bytes from 13.233.231.202: icmp_seq=72 ttl=52 time=3.85 ms
64 bytes from 13.233.231.202: icmp_seq=73 ttl=52 time=3.95 ms
64 bytes from 13.233.231.202: icmp_seq=74 ttl=52 time=3.11 ms
64 bytes from 13.233.231.202: icmp_seq=76 ttl=52 time=3.39 ms
