Connecting to host 3.8.167.46, port 5201
[  5] local 10.150.0.2 port 54942 connected to 3.8.167.46 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.84 MBytes  40.6 Mbits/sec  243    287 KBytes       
[  5]   1.00-2.00   sec  3.46 MBytes  29.0 Mbits/sec    0    319 KBytes       
[  5]   2.00-3.00   sec  3.46 MBytes  29.0 Mbits/sec    4    246 KBytes       
[  5]   3.00-4.00   sec  3.64 MBytes  30.6 Mbits/sec    0    265 KBytes       
[  5]   4.00-5.00   sec  3.27 MBytes  27.5 Mbits/sec    0    276 KBytes       
[  5]   5.00-6.00   sec  3.40 MBytes  28.5 Mbits/sec    0    279 KBytes       
[  5]   6.00-7.00   sec  4.39 MBytes  36.8 Mbits/sec    0    279 KBytes       
[  5]   7.00-8.00   sec  3.27 MBytes  27.5 Mbits/sec    0    280 KBytes       
[  5]   8.00-9.00   sec  3.27 MBytes  27.5 Mbits/sec    0    290 KBytes       
[  5]   9.00-10.00  sec  4.32 MBytes  36.3 Mbits/sec    0    301 KBytes       
[  5]  10.00-11.00  sec  3.34 MBytes  28.0 Mbits/sec    0    315 KBytes       
[  5]  11.00-12.00  sec  4.51 MBytes  37.8 Mbits/sec    0    348 KBytes       
[  5]  12.00-13.00  sec  4.45 MBytes  37.3 Mbits/sec    0    397 KBytes       
[  5]  13.00-14.00  sec  5.62 MBytes  47.2 Mbits/sec    0    469 KBytes       
[  5]  14.00-15.00  sec  6.67 MBytes  56.0 Mbits/sec    0    561 KBytes       
[  5]  15.00-16.00  sec  7.39 MBytes  62.0 Mbits/sec   93    465 KBytes       
[  5]  16.00-17.00  sec  6.25 MBytes  52.4 Mbits/sec    0    528 KBytes       
[  5]  17.00-18.00  sec  7.49 MBytes  62.8 Mbits/sec    0    572 KBytes       
[  5]  18.00-19.00  sec  6.25 MBytes  52.4 Mbits/sec    0    601 KBytes       
[  5]  19.00-20.00  sec  8.74 MBytes  73.4 Mbits/sec    0    619 KBytes       
[  5]  20.00-21.00  sec  7.50 MBytes  62.9 Mbits/sec    0    626 KBytes       
[  5]  21.00-22.00  sec  7.49 MBytes  62.9 Mbits/sec    0    627 KBytes       
[  5]  22.00-23.00  sec  8.75 MBytes  73.4 Mbits/sec    0    627 KBytes       
[  5]  23.00-24.00  sec  7.50 MBytes  62.9 Mbits/sec    0    628 KBytes       
[  5]  24.00-25.00  sec  8.75 MBytes  73.4 Mbits/sec    0    634 KBytes       
[  5]  25.00-26.00  sec  7.50 MBytes  62.9 Mbits/sec   30    458 KBytes       
[  5]  26.00-27.00  sec  6.25 MBytes  52.4 Mbits/sec    0    528 KBytes       
[  5]  27.00-28.00  sec  7.50 MBytes  62.9 Mbits/sec    0    578 KBytes       
[  5]  28.00-29.00  sec  7.50 MBytes  62.9 Mbits/sec    0    610 KBytes       
[  5]  29.00-30.00  sec  7.50 MBytes  62.9 Mbits/sec    0    631 KBytes       
[  5]  30.00-31.00  sec  7.50 MBytes  62.9 Mbits/sec    0    642 KBytes       
[  5]  31.00-32.00  sec  8.75 MBytes  73.4 Mbits/sec    0    645 KBytes       
