Connecting to host 13.239.64.172, port 5201
[  5] local 10.150.0.2 port 34490 connected to 13.239.64.172 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.02 MBytes  8.51 Mbits/sec    0    190 KBytes       
[  5]   1.00-2.00   sec  2.05 MBytes  17.2 Mbits/sec  241    278 KBytes       
[  5]   2.00-3.00   sec  2.89 MBytes  24.2 Mbits/sec    0    492 KBytes       
[  5]   3.00-4.00   sec  2.04 MBytes  17.1 Mbits/sec   10    368 KBytes       
[  5]   4.00-5.00   sec  1.11 MBytes  9.32 Mbits/sec    0    399 KBytes       
[  5]   5.00-6.00   sec  2.16 MBytes  18.1 Mbits/sec    0    415 KBytes       
[  5]   6.00-7.00   sec  2.16 MBytes  18.1 Mbits/sec    0    424 KBytes       
[  5]   7.00-8.00   sec  2.22 MBytes  18.7 Mbits/sec    0    425 KBytes       
[  5]   8.00-9.00   sec  2.16 MBytes  18.1 Mbits/sec    0    425 KBytes       
[  5]   9.00-10.00  sec  2.10 MBytes  17.6 Mbits/sec    0    426 KBytes       
[  5]  10.00-11.00  sec  2.04 MBytes  17.1 Mbits/sec    0    432 KBytes       
[  5]  11.00-12.00  sec  2.16 MBytes  18.1 Mbits/sec    0    444 KBytes       
[  5]  12.00-13.00  sec  2.16 MBytes  18.1 Mbits/sec    0    469 KBytes       
[  5]  13.00-14.00  sec  2.16 MBytes  18.1 Mbits/sec    0    507 KBytes       
[  5]  14.00-15.00  sec  3.27 MBytes  27.5 Mbits/sec    0    564 KBytes       
[  5]  15.00-16.00  sec  2.49 MBytes  20.8 Mbits/sec    6    436 KBytes       
[  5]  16.00-17.00  sec  2.47 MBytes  20.7 Mbits/sec    0    507 KBytes       
[  5]  17.00-18.00  sec  2.50 MBytes  21.0 Mbits/sec    9    373 KBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0    414 KBytes       
[  5]  19.00-20.00  sec  1.25 MBytes  10.5 Mbits/sec    0    441 KBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0    455 KBytes       
[  5]  21.00-22.00  sec  2.48 MBytes  20.8 Mbits/sec    0    463 KBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0    463 KBytes       
[  5]  23.00-24.00  sec  1.25 MBytes  10.5 Mbits/sec    0    463 KBytes       
[  5]  24.00-25.00  sec  2.50 MBytes  21.0 Mbits/sec    0    465 KBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec   28    349 KBytes       
[  5]  26.00-27.00  sec  1.25 MBytes  10.5 Mbits/sec    0    396 KBytes       
[  5]  27.00-28.00  sec  2.48 MBytes  20.8 Mbits/sec    0    430 KBytes       
[  5]  28.00-29.00  sec  1.25 MBytes  10.5 Mbits/sec    8    326 KBytes       
[  5]  29.00-30.00  sec  1.25 MBytes  10.5 Mbits/sec    0    351 KBytes       
[  5]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    366 KBytes       
[  5]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    373 KBytes       
[  5]  32.00-33.00  sec  2.50 MBytes  21.0 Mbits/sec   42    261 KBytes       
[  5]  33.00-34.00  sec  1.25 MBytes  10.5 Mbits/sec    0    311 KBytes       
[  5]  34.00-35.00  sec  1.25 MBytes  10.5 Mbits/sec    0    342 KBytes       
[  5]  35.00-36.00  sec  1.25 MBytes  10.5 Mbits/sec   13    256 KBytes       
[  5]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    278 KBytes       
[  5]  37.00-38.00  sec  1.25 MBytes  10.5 Mbits/sec    0    290 KBytes       
[  5]  38.00-39.00  sec  1.25 MBytes  10.5 Mbits/sec    0    294 KBytes       
[  5]  39.00-40.00  sec  2.47 MBytes  20.7 Mbits/sec    0    294 KBytes       
[  5]  40.00-41.00  sec  1.24 MBytes  10.4 Mbits/sec    0    294 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    0    298 KBytes       
[  5]  42.00-43.00  sec  1.25 MBytes  10.5 Mbits/sec    0    308 KBytes       
[  5]  43.00-44.00  sec  1.25 MBytes  10.5 Mbits/sec    0    326 KBytes       
[  5]  44.00-45.00  sec  2.49 MBytes  20.9 Mbits/sec    0    358 KBytes       
