Connecting to host 35.221.118.215, port 5201
[  5] local 10.138.0.2 port 41930 connected to 35.221.118.215 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  8.61 MBytes  72.2 Mbits/sec   54   41.2 KBytes       
[  5]   1.00-2.00   sec  12.5 MBytes   105 Mbits/sec  143   1.00 MBytes       
[  5]   2.00-3.00   sec  7.50 MBytes  62.9 Mbits/sec   32    769 KBytes       
[  5]   3.00-4.00   sec  7.50 MBytes  62.9 Mbits/sec   52    407 KBytes       
[  5]   4.00-5.00   sec  3.75 MBytes  31.5 Mbits/sec    1    314 KBytes       
[  5]   5.00-6.00   sec  3.75 MBytes  31.5 Mbits/sec    0    336 KBytes       
[  5]   6.00-7.00   sec  3.75 MBytes  31.5 Mbits/sec    6    246 KBytes       
[  5]   7.00-8.00   sec  2.50 MBytes  21.0 Mbits/sec    0    272 KBytes       
[  5]   8.00-9.00   sec  3.75 MBytes  31.5 Mbits/sec    0    286 KBytes       
[  5]   9.00-10.00  sec  2.50 MBytes  21.0 Mbits/sec    0    292 KBytes       
[  5]  10.00-11.00  sec  3.75 MBytes  31.5 Mbits/sec    0    293 KBytes       
[  5]  11.00-12.00  sec  2.50 MBytes  21.0 Mbits/sec    3    232 KBytes       
[  5]  12.00-13.00  sec  2.50 MBytes  21.0 Mbits/sec    0    264 KBytes       
[  5]  13.00-14.00  sec  2.50 MBytes  21.0 Mbits/sec    0    282 KBytes       
[  5]  14.00-15.00  sec  3.75 MBytes  31.5 Mbits/sec    0    290 KBytes       
[  5]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0    293 KBytes       
[  5]  16.00-17.00  sec  2.50 MBytes  21.0 Mbits/sec    0    293 KBytes       
[  5]  17.00-18.00  sec  3.75 MBytes  31.5 Mbits/sec    4    205 KBytes       
[  5]  18.00-19.00  sec  2.50 MBytes  21.0 Mbits/sec    0    248 KBytes       
[  5]  19.00-20.00  sec  2.50 MBytes  21.0 Mbits/sec    0    271 KBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec    0    286 KBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0    293 KBytes       
[  5]  22.00-23.00  sec  3.75 MBytes  31.5 Mbits/sec    0    293 KBytes       
[  5]  23.00-24.00  sec  2.50 MBytes  21.0 Mbits/sec    0    293 KBytes       
[  5]  24.00-25.00  sec  3.75 MBytes  31.5 Mbits/sec    0    294 KBytes       
[  5]  25.00-26.00  sec  2.50 MBytes  21.0 Mbits/sec    0    302 KBytes       
[  5]  26.00-27.00  sec  3.75 MBytes  31.5 Mbits/sec    0    318 KBytes       
[  5]  27.00-28.00  sec  3.75 MBytes  31.5 Mbits/sec    0    346 KBytes       
[  5]  28.00-29.00  sec  3.75 MBytes  31.5 Mbits/sec    0    389 KBytes       
[  5]  29.00-30.00  sec  5.00 MBytes  41.9 Mbits/sec    0    452 KBytes       
[  5]  30.00-31.00  sec  5.00 MBytes  41.9 Mbits/sec    0    535 KBytes       
[  5]  31.00-32.00  sec  6.25 MBytes  52.4 Mbits/sec   17    443 KBytes       
[  5]  32.00-33.00  sec  5.00 MBytes  41.9 Mbits/sec    0    509 KBytes       
[  5]  33.00-34.00  sec  6.25 MBytes  52.4 Mbits/sec    0    550 KBytes       
[  5]  34.00-35.00  sec  5.00 MBytes  41.9 Mbits/sec   10    419 KBytes       
[  5]  35.00-36.00  sec  5.00 MBytes  41.9 Mbits/sec    0    448 KBytes       
[  5]  36.00-37.00  sec  5.00 MBytes  41.9 Mbits/sec    0    465 KBytes       
[  5]  37.00-38.00  sec  5.00 MBytes  41.9 Mbits/sec    0    473 KBytes       
[  5]  38.00-39.00  sec  5.00 MBytes  41.9 Mbits/sec    0    474 KBytes       
[  5]  39.00-40.00  sec  5.00 MBytes  41.9 Mbits/sec    0    474 KBytes       
[  5]  40.00-41.00  sec  5.00 MBytes  41.9 Mbits/sec    0    476 KBytes       
[  5]  41.00-42.00  sec  6.25 MBytes  52.4 Mbits/sec    0    481 KBytes       
[  5]  42.00-43.00  sec  3.75 MBytes  31.5 Mbits/sec   33    374 KBytes       
[  5]  43.00-44.00  sec  3.75 MBytes  31.5 Mbits/sec    0    421 KBytes       
[  5]  44.00-45.00  sec  5.00 MBytes  41.9 Mbits/sec    0    454 KBytes       
[  5]  45.00-46.00  sec  5.00 MBytes  42.0 Mbits/sec   69    344 KBytes       
[  5]  46.00-47.00  sec  3.75 MBytes  31.5 Mbits/sec    0    368 KBytes       
[  5]  47.00-48.00  sec  3.75 MBytes  31.5 Mbits/sec    0    382 KBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    2    286 KBytes       
[  5]  49.00-50.00  sec  3.75 MBytes  31.5 Mbits/sec    0    309 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    322 KBytes       
[  5]  51.00-52.00  sec  3.75 MBytes  31.5 Mbits/sec    0    327 KBytes       
[  5]  52.00-53.00  sec  3.75 MBytes  31.5 Mbits/sec    0    327 KBytes       
[  5]  53.00-54.00  sec  2.50 MBytes  21.0 Mbits/sec   11    263 KBytes       
[  5]  54.00-55.00  sec  3.75 MBytes  31.5 Mbits/sec    0    294 KBytes       
[  5]  55.00-56.00  sec  3.75 MBytes  31.5 Mbits/sec    0    314 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    324 KBytes       
[  5]  57.00-58.00  sec  3.75 MBytes  31.5 Mbits/sec    0    327 KBytes       
[  5]  58.00-59.00  sec  3.75 MBytes  31.5 Mbits/sec    0    327 KBytes       
[  5]  59.00-60.00  sec  3.75 MBytes  31.5 Mbits/sec    0    327 KBytes       
[  5]  60.00-61.00  sec  3.75 MBytes  31.5 Mbits/sec    0    331 KBytes       
[  5]  61.00-62.00  sec  3.75 MBytes  31.5 Mbits/sec    0    344 KBytes       
[  5]  62.00-63.00  sec  3.75 MBytes  31.5 Mbits/sec    0    364 KBytes       
[  5]  63.00-64.00  sec  3.75 MBytes  31.5 Mbits/sec    0    399 KBytes       
[  5]  64.00-65.00  sec  5.00 MBytes  41.9 Mbits/sec    0    451 KBytes       
[  5]  65.00-66.00  sec  5.00 MBytes  41.9 Mbits/sec    0    521 KBytes       
[  5]  66.00-67.00  sec  6.25 MBytes  52.4 Mbits/sec    0    619 KBytes       
[  5]  67.00-68.00  sec  7.50 MBytes  62.9 Mbits/sec   24    507 KBytes       
[  5]  68.00-69.00  sec  6.25 MBytes  52.4 Mbits/sec    0    584 KBytes       
[  5]  69.00-70.00  sec  5.00 MBytes  41.9 Mbits/sec    8    448 KBytes       
[  5]  70.00-71.00  sec  3.75 MBytes  31.5 Mbits/sec    2    345 KBytes       
[  5]  71.00-72.00  sec  2.50 MBytes  21.0 Mbits/sec   10    265 KBytes       
[  5]  72.00-73.00  sec  3.75 MBytes  31.5 Mbits/sec    0    285 KBytes       
[  5]  73.00-74.00  sec  2.50 MBytes  21.0 Mbits/sec    0    296 KBytes       
[  5]  74.00-75.00  sec  3.75 MBytes  31.5 Mbits/sec    0    298 KBytes       
[  5]  75.00-76.00  sec  2.50 MBytes  21.0 Mbits/sec    0    298 KBytes       
[  5]  76.00-77.00  sec  3.75 MBytes  31.5 Mbits/sec    0    298 KBytes       
[  5]  77.00-78.00  sec  3.75 MBytes  31.5 Mbits/sec    0    302 KBytes       
[  5]  78.00-79.00  sec  2.50 MBytes  21.0 Mbits/sec    5    249 KBytes       
[  5]  79.00-80.00  sec  2.50 MBytes  21.0 Mbits/sec    0    276 KBytes       
[  5]  80.00-81.00  sec  3.75 MBytes  31.5 Mbits/sec    0    294 KBytes       
[  5]  81.00-82.00  sec  2.50 MBytes  21.0 Mbits/sec    0    302 KBytes       
[  5]  82.00-83.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
[  5]  83.00-84.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
[  5]  84.00-85.00  sec  2.50 MBytes  21.0 Mbits/sec   21    250 KBytes       
[  5]  85.00-86.00  sec  2.50 MBytes  21.0 Mbits/sec    0    278 KBytes       
[  5]  86.00-87.00  sec  3.75 MBytes  31.5 Mbits/sec    0    296 KBytes       
[  5]  87.00-88.00  sec  2.50 MBytes  21.0 Mbits/sec    0    302 KBytes       
[  5]  88.00-89.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
[  5]  89.00-90.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
[  5]  90.00-91.00  sec  2.50 MBytes  21.0 Mbits/sec   21    164 KBytes       
[  5]  91.00-92.00  sec  1.25 MBytes  10.5 Mbits/sec    0    184 KBytes       
[  5]  92.00-93.00  sec  2.50 MBytes  21.0 Mbits/sec    0    195 KBytes       
[  5]  93.00-94.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]  94.00-95.00  sec  2.50 MBytes  21.0 Mbits/sec    0    198 KBytes       
[  5]  95.00-96.00  sec  1.25 MBytes  10.5 Mbits/sec    0    204 KBytes       
[  5]  96.00-97.00  sec  2.50 MBytes  21.0 Mbits/sec    0    213 KBytes       
[  5]  97.00-98.00  sec  2.50 MBytes  21.0 Mbits/sec    0    220 KBytes       
[  5]  98.00-99.00  sec  2.50 MBytes  21.0 Mbits/sec    0    234 KBytes       
[  5]  99.00-100.00 sec  2.50 MBytes  21.0 Mbits/sec    0    268 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-100.00 sec   387 MBytes  32.5 Mbits/sec  528             sender
