PING 54.233.156.226 (54.233.156.226) 56(84) bytes of data.
64 bytes from 54.233.156.226: icmp_seq=1 ttl=52 time=6.12 ms
64 bytes from 54.233.156.226: icmp_seq=2 ttl=52 time=3.22 ms
64 bytes from 54.233.156.226: icmp_seq=3 ttl=52 time=4.31 ms
64 bytes from 54.233.156.226: icmp_seq=4 ttl=52 time=3.81 ms
64 bytes from 54.233.156.226: icmp_seq=5 ttl=52 time=3.27 ms
64 bytes from 54.233.156.226: icmp_seq=6 ttl=52 time=3.22 ms
64 bytes from 54.233.156.226: icmp_seq=7 ttl=52 time=3.54 ms
64 bytes from 54.233.156.226: icmp_seq=8 ttl=52 time=3.31 ms
64 bytes from 54.233.156.226: icmp_seq=9 ttl=52 time=4.70 ms
64 bytes from 54.233.156.226: icmp_seq=10 ttl=52 time=2.90 ms
64 bytes from 54.233.156.226: icmp_seq=11 ttl=52 time=3.18 ms
64 bytes from 54.233.156.226: icmp_seq=12 ttl=52 time=6.04 ms
64 bytes from 54.233.156.226: icmp_seq=13 ttl=52 time=6.58 ms
64 bytes from 54.233.156.226: icmp_seq=14 ttl=52 time=4.17 ms
64 bytes from 54.233.156.226: icmp_seq=15 ttl=52 time=5.97 ms
64 bytes from 54.233.156.226: icmp_seq=16 ttl=52 time=3.52 ms
64 bytes from 54.233.156.226: icmp_seq=17 ttl=52 time=5.92 ms
64 bytes from 54.233.156.226: icmp_seq=18 ttl=52 time=3.93 ms
64 bytes from 54.233.156.226: icmp_seq=19 ttl=52 time=3.76 ms
64 bytes from 54.233.156.226: icmp_seq=20 ttl=52 time=6.42 ms
64 bytes from 54.233.156.226: icmp_seq=21 ttl=52 time=5.36 ms
64 bytes from 54.233.156.226: icmp_seq=22 ttl=52 time=3.52 ms
64 bytes from 54.233.156.226: icmp_seq=23 ttl=52 time=4.81 ms
64 bytes from 54.233.156.226: icmp_seq=24 ttl=52 time=4.60 ms
64 bytes from 54.233.156.226: icmp_seq=25 ttl=52 time=3.14 ms
64 bytes from 54.233.156.226: icmp_seq=26 ttl=52 time=4.30 ms
64 bytes from 54.233.156.226: icmp_seq=27 ttl=52 time=4.10 ms
64 bytes from 54.233.156.226: icmp_seq=28 ttl=52 time=5.27 ms
64 bytes from 54.233.156.226: icmp_seq=29 ttl=52 time=3.48 ms
64 bytes from 54.233.156.226: icmp_seq=30 ttl=52 time=6.34 ms
64 bytes from 54.233.156.226: icmp_seq=31 ttl=52 time=5.99 ms
64 bytes from 54.233.156.226: icmp_seq=32 ttl=52 time=6.18 ms
64 bytes from 54.233.156.226: icmp_seq=33 ttl=52 time=7.00 ms
64 bytes from 54.233.156.226: icmp_seq=34 ttl=52 time=3.64 ms
64 bytes from 54.233.156.226: icmp_seq=35 ttl=52 time=3.79 ms
64 bytes from 54.233.156.226: icmp_seq=36 ttl=52 time=3.25 ms
64 bytes from 54.233.156.226: icmp_seq=37 ttl=52 time=6.53 ms
64 bytes from 54.233.156.226: icmp_seq=38 ttl=52 time=5.19 ms
64 bytes from 54.233.156.226: icmp_seq=39 ttl=52 time=5.16 ms
64 bytes from 54.233.156.226: icmp_seq=40 ttl=52 time=6.79 ms
64 bytes from 54.233.156.226: icmp_seq=41 ttl=52 time=4.14 ms
64 bytes from 54.233.156.226: icmp_seq=42 ttl=52 time=5.17 ms
64 bytes from 54.233.156.226: icmp_seq=43 ttl=52 time=3.98 ms
64 bytes from 54.233.156.226: icmp_seq=44 ttl=52 time=3.57 ms
64 bytes from 54.233.156.226: icmp_seq=45 ttl=52 time=7.34 ms
64 bytes from 54.233.156.226: icmp_seq=46 ttl=52 time=4.58 ms
64 bytes from 54.233.156.226: icmp_seq=47 ttl=52 time=6.65 ms
64 bytes from 54.233.156.226: icmp_seq=48 ttl=52 time=6.46 ms
64 bytes from 54.233.156.226: icmp_seq=49 ttl=52 time=4.25 ms
64 bytes from 54.233.156.226: icmp_seq=50 ttl=52 time=5.31 ms
64 bytes from 54.233.156.226: icmp_seq=51 ttl=52 time=5.31 ms
64 bytes from 54.233.156.226: icmp_seq=52 ttl=52 time=3.70 ms
64 bytes from 54.233.156.226: icmp_seq=53 ttl=52 time=6.84 ms
64 bytes from 54.233.156.226: icmp_seq=54 ttl=52 time=3.28 ms
64 bytes from 54.233.156.226: icmp_seq=55 ttl=52 time=2.88 ms
64 bytes from 54.233.156.226: icmp_seq=56 ttl=52 time=4.70 ms
64 bytes from 54.233.156.226: icmp_seq=57 ttl=52 time=3.56 ms
64 bytes from 54.233.156.226: icmp_seq=58 ttl=52 time=5.87 ms
64 bytes from 54.233.156.226: icmp_seq=59 ttl=52 time=5.73 ms
64 bytes from 54.233.156.226: icmp_seq=60 ttl=52 time=4.01 ms
