Connecting to host 35.244.67.82, port 5201
[  5] local 172.31.20.153 port 57060 connected to 35.244.67.82 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  4.57 MBytes  38.4 Mbits/sec  240    617 KBytes       
[  5]   1.00-2.00   sec  6.98 MBytes  58.6 Mbits/sec    0    708 KBytes       
[  5]   2.00-3.00   sec  7.10 MBytes  59.6 Mbits/sec    0    769 KBytes       
[  5]   3.00-4.00   sec  8.96 MBytes  75.1 Mbits/sec    0    815 KBytes       
[  5]   4.00-5.00   sec  7.97 MBytes  66.8 Mbits/sec    0    846 KBytes       
[  5]   5.00-6.00   sec  9.02 MBytes  75.6 Mbits/sec    0    864 KBytes       
[  5]   6.00-7.00   sec  8.15 MBytes  68.4 Mbits/sec    9    623 KBytes       
[  5]   7.00-8.00   sec  6.86 MBytes  57.5 Mbits/sec    0    672 KBytes       
[  5]   8.00-9.00   sec  6.92 MBytes  58.0 Mbits/sec    0    705 KBytes       
[  5]   9.00-10.00  sec  7.84 MBytes  65.8 Mbits/sec    0    726 KBytes       
[  5]  10.00-11.00  sec  7.04 MBytes  59.1 Mbits/sec    0    736 KBytes       
[  5]  11.00-12.00  sec  6.92 MBytes  58.0 Mbits/sec    3    549 KBytes       
[  5]  12.00-13.00  sec  5.87 MBytes  49.2 Mbits/sec    0    586 KBytes       
[  5]  13.00-14.00  sec  5.99 MBytes  50.3 Mbits/sec    0    608 KBytes       
[  5]  14.00-15.00  sec  5.93 MBytes  49.7 Mbits/sec    0    620 KBytes       
[  5]  15.00-16.00  sec  6.98 MBytes  58.6 Mbits/sec    0    626 KBytes       
[  5]  16.00-17.00  sec  5.87 MBytes  49.2 Mbits/sec    0    626 KBytes       
[  5]  17.00-18.00  sec  6.30 MBytes  52.9 Mbits/sec   13    468 KBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  42.0 Mbits/sec    0    527 KBytes       
[  5]  19.00-20.00  sec  5.13 MBytes  43.0 Mbits/sec    0    572 KBytes       
[  5]  20.00-21.00  sec  6.11 MBytes  51.3 Mbits/sec    0    601 KBytes       
[  5]  21.00-22.00  sec  6.92 MBytes  58.0 Mbits/sec    0    617 KBytes       
[  5]  22.00-23.00  sec  6.11 MBytes  51.3 Mbits/sec    0    624 KBytes       
[  5]  23.00-24.00  sec  6.92 MBytes  58.0 Mbits/sec    0    626 KBytes       
[  5]  24.00-25.00  sec  5.06 MBytes  42.5 Mbits/sec   22    447 KBytes       
[  5]  25.00-26.00  sec  5.00 MBytes  42.0 Mbits/sec    0    516 KBytes       
[  5]  26.00-27.00  sec  5.87 MBytes  49.2 Mbits/sec    0    562 KBytes       
[  5]  27.00-28.00  sec  6.05 MBytes  50.8 Mbits/sec    0    595 KBytes       
[  5]  28.00-29.00  sec  6.05 MBytes  50.8 Mbits/sec    0    613 KBytes       
[  5]  29.00-30.00  sec  6.79 MBytes  57.0 Mbits/sec    0    623 KBytes       
[  5]  30.00-31.00  sec  5.87 MBytes  49.2 Mbits/sec    0    626 KBytes       
[  5]  31.00-32.00  sec  6.92 MBytes  58.0 Mbits/sec    0    626 KBytes       
[  5]  32.00-33.00  sec  6.05 MBytes  50.8 Mbits/sec    0    626 KBytes       
[  5]  33.00-34.00  sec  6.79 MBytes  57.0 Mbits/sec    0    631 KBytes       
[  5]  34.00-35.00  sec  6.92 MBytes  58.0 Mbits/sec    0    642 KBytes       
[  5]  35.00-36.00  sec  6.73 MBytes  56.5 Mbits/sec    0    664 KBytes       
