PING 54.169.96.154 (54.169.96.154) 56(84) bytes of data.
64 bytes from 54.169.96.154: icmp_seq=1 ttl=48 time=3.13 ms
64 bytes from 54.169.96.154: icmp_seq=2 ttl=48 time=5.69 ms
64 bytes from 54.169.96.154: icmp_seq=3 ttl=48 time=6.07 ms
64 bytes from 54.169.96.154: icmp_seq=4 ttl=48 time=7.45 ms
64 bytes from 54.169.96.154: icmp_seq=5 ttl=48 time=6.36 ms
64 bytes from 54.169.96.154: icmp_seq=6 ttl=48 time=6.27 ms
64 bytes from 54.169.96.154: icmp_seq=7 ttl=48 time=3.07 ms
64 bytes from 54.169.96.154: icmp_seq=8 ttl=48 time=4.79 ms
64 bytes from 54.169.96.154: icmp_seq=9 ttl=48 time=3.65 ms
64 bytes from 54.169.96.154: icmp_seq=10 ttl=48 time=5.88 ms
64 bytes from 54.169.96.154: icmp_seq=11 ttl=48 time=3.60 ms
64 bytes from 54.169.96.154: icmp_seq=12 ttl=48 time=4.82 ms
64 bytes from 54.169.96.154: icmp_seq=13 ttl=48 time=4.82 ms
64 bytes from 54.169.96.154: icmp_seq=14 ttl=48 time=3.80 ms
64 bytes from 54.169.96.154: icmp_seq=15 ttl=48 time=4.05 ms
64 bytes from 54.169.96.154: icmp_seq=16 ttl=48 time=3.60 ms
64 bytes from 54.169.96.154: icmp_seq=17 ttl=48 time=5.88 ms
64 bytes from 54.169.96.154: icmp_seq=18 ttl=48 time=9.12 ms
64 bytes from 54.169.96.154: icmp_seq=19 ttl=48 time=7.91 ms
64 bytes from 54.169.96.154: icmp_seq=20 ttl=48 time=6.30 ms
64 bytes from 54.169.96.154: icmp_seq=21 ttl=48 time=9.83 ms
64 bytes from 54.169.96.154: icmp_seq=22 ttl=48 time=8.15 ms
64 bytes from 54.169.96.154: icmp_seq=23 ttl=48 time=4.45 ms
64 bytes from 54.169.96.154: icmp_seq=24 ttl=48 time=2.92 ms
64 bytes from 54.169.96.154: icmp_seq=25 ttl=48 time=3.51 ms
64 bytes from 54.169.96.154: icmp_seq=26 ttl=48 time=3.32 ms
64 bytes from 54.169.96.154: icmp_seq=27 ttl=48 time=4.90 ms
64 bytes from 54.169.96.154: icmp_seq=28 ttl=48 time=5.36 ms
