Connecting to host 35.197.57.246, port 5201
[  5] local 172.31.6.22 port 39142 connected to 35.197.57.246 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.68 MBytes  14.1 Mbits/sec    0    440 KBytes       
[  5]   1.00-2.00   sec  5.42 MBytes  45.4 Mbits/sec  904    820 KBytes       
[  5]   2.00-3.00   sec  6.25 MBytes  52.4 Mbits/sec  152    859 KBytes       
[  5]   3.00-4.00   sec  5.00 MBytes  41.9 Mbits/sec    0    916 KBytes       
[  5]   4.00-5.00   sec  6.25 MBytes  52.4 Mbits/sec    0    956 KBytes       
[  5]   5.00-6.00   sec  5.00 MBytes  41.9 Mbits/sec    0    982 KBytes       
[  5]   6.00-7.00   sec  6.25 MBytes  52.4 Mbits/sec    0    997 KBytes       
[  5]   7.00-8.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1005 KBytes       
[  5]   8.00-9.00   sec  6.25 MBytes  52.4 Mbits/sec    0   1005 KBytes       
[  5]   9.00-10.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1005 KBytes       
[  5]  10.00-11.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1006 KBytes       
[  5]  11.00-12.00  sec  5.00 MBytes  41.9 Mbits/sec    0   1013 KBytes       
[  5]  12.00-13.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.00 MBytes       
[  5]  13.00-14.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.03 MBytes       
[  5]  14.00-15.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.08 MBytes       
[  5]  15.00-16.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.13 MBytes       
[  5]  16.00-17.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.21 MBytes       
[  5]  17.00-18.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.32 MBytes       
[  5]  18.00-19.00  sec  7.50 MBytes  62.9 Mbits/sec    0   1.45 MBytes       
[  5]  19.00-20.00  sec  8.75 MBytes  73.4 Mbits/sec    0   1.60 MBytes       
[  5]  20.00-21.00  sec  6.25 MBytes  52.4 Mbits/sec  200    835 KBytes       
[  5]  21.00-22.00  sec  5.00 MBytes  41.9 Mbits/sec    0    899 KBytes       
[  5]  22.00-23.00  sec  6.25 MBytes  52.4 Mbits/sec    0    943 KBytes       
[  5]  23.00-24.00  sec  6.25 MBytes  52.4 Mbits/sec    0    969 KBytes       
[  5]  24.00-25.00  sec  5.00 MBytes  41.9 Mbits/sec    0    983 KBytes       
[  5]  25.00-26.00  sec  6.25 MBytes  52.4 Mbits/sec    0    990 KBytes       
[  5]  26.00-27.00  sec  6.25 MBytes  52.4 Mbits/sec    0    991 KBytes       
[  5]  27.00-28.00  sec  5.00 MBytes  41.9 Mbits/sec    0    991 KBytes       
[  5]  28.00-29.00  sec  6.25 MBytes  52.4 Mbits/sec    0    993 KBytes       
[  5]  29.00-30.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1000 KBytes       
[  5]  30.00-31.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1015 KBytes       
