Connecting to host 52.12.99.134, port 5201
[  5] local 10.152.0.2 port 38902 connected to 52.12.99.134 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  1.02 MBytes  8.51 Mbits/sec    0    190 KBytes       
[  5]   1.00-2.00   sec  3.15 MBytes  26.4 Mbits/sec  262    337 KBytes       
[  5]   2.00-3.00   sec  1.98 MBytes  16.6 Mbits/sec   18    333 KBytes       
[  5]   3.00-4.00   sec  1.98 MBytes  16.6 Mbits/sec    0    355 KBytes       
[  5]   4.00-5.00   sec  2.10 MBytes  17.6 Mbits/sec    0    366 KBytes       
[  5]   5.00-6.00   sec  1.85 MBytes  15.5 Mbits/sec    0    371 KBytes       
[  5]   6.00-7.00   sec  1.91 MBytes  16.1 Mbits/sec    0    371 KBytes       
[  5]   7.00-8.00   sec  2.78 MBytes  23.3 Mbits/sec    0    371 KBytes       
[  5]   8.00-9.00   sec  1.85 MBytes  15.5 Mbits/sec    0    375 KBytes       
[  5]   9.00-10.00  sec  1.85 MBytes  15.5 Mbits/sec    0    384 KBytes       
[  5]  10.00-11.00  sec  2.90 MBytes  24.4 Mbits/sec    0    403 KBytes       
[  5]  11.00-12.00  sec  1.85 MBytes  15.5 Mbits/sec    0    436 KBytes       
[  5]  12.00-13.00  sec  2.96 MBytes  24.9 Mbits/sec    0    485 KBytes       
[  5]  13.00-14.00  sec  3.34 MBytes  28.0 Mbits/sec    0    556 KBytes       
[  5]  14.00-15.00  sec  3.72 MBytes  31.2 Mbits/sec    0    649 KBytes       
[  5]  15.00-16.00  sec  3.75 MBytes  31.5 Mbits/sec    0    767 KBytes       
[  5]  16.00-17.00  sec  5.00 MBytes  41.9 Mbits/sec    0    918 KBytes       
[  5]  17.00-18.00  sec  6.25 MBytes  52.4 Mbits/sec    0   1.07 MBytes       
[  5]  18.00-19.00  sec  5.00 MBytes  41.9 Mbits/sec  139    499 KBytes       
[  5]  19.00-20.00  sec  3.75 MBytes  31.5 Mbits/sec  103    631 KBytes       
[  5]  20.00-21.00  sec  2.50 MBytes  21.0 Mbits/sec   26    476 KBytes       
[  5]  21.00-22.00  sec  3.75 MBytes  31.5 Mbits/sec    0    513 KBytes       
[  5]  22.00-23.00  sec  2.50 MBytes  21.0 Mbits/sec    0    535 KBytes       
