dc1,dc2,avgBW,avgLatency,avgCostPerGB,normBW,normLatency,normCost,normEqualWeights,norm75BW,norm75Latency,norm75Cost
central_aws,frankfurt_aws,98.972,102.03,0.02,0.2163,0.722,0.9333,0.6239,0.3691,0.6852,0.8173
central_aws,ireland_aws,91.411,79.841,0.02,0.1992,0.7875,0.9333,0.64,0.3645,0.7322,0.8233
central_aws,london_aws,90.474,89.938,0.02,0.1971,0.7577,0.9333,0.6294,0.3592,0.7096,0.8193
central_aws,mumbai_aws,42.493,194.07,0.086,0.0888,0.4502,0.4933,0.3441,0.1845,0.4104,0.4374
central_aws,northcalifornia_aws,94.48,77.329,0.02,0.2061,0.7949,0.9333,0.6448,0.3706,0.7386,0.8251
central_aws,northvirginia_aws,297.63,16.837,0.02,0.6647,0.9736,0.9333,0.8572,0.7369,0.93,0.9048
central_aws,ohio_aws,171.533,26.309,0.02,0.3801,0.9456,0.9333,0.753,0.5199,0.8734,0.8657
central_aws,oregon_aws,109.181,65.269,0.02,0.2393,0.8306,0.9333,0.6677,0.4,0.7695,0.8337
central_aws,paris_aws,76.089,93.127,0.02,0.1646,0.7483,0.9333,0.6154,0.3336,0.6985,0.8141
central_aws,saopaulo_aws,37.987,158.69,0.16,0.0786,0.5547,0,0.2111,0.1283,0.4258,0.0792
central_aws,seoul_aws,67.333,183.72,0.08,0.1448,0.4808,0.5333,0.3863,0.2354,0.4454,0.4782
central_aws,singapore_aws,47.1662,218.01,0.09,0.0993,0.3795,0.4667,0.3152,0.1803,0.3554,0.4099
central_aws,sydney_aws,43.7907,210.03,0.14,0.0917,0.4031,0.1333,0.2094,0.1358,0.3304,0.1618
central_aws,tokyo_aws,60.939,154.72,0.09,0.1304,0.5664,0.4667,0.3878,0.2269,0.4994,0.4371
frankfurt_aws,central_aws,79.515,102.01,0.02,0.1723,0.7221,0.9333,0.6092,0.3362,0.6798,0.8118
frankfurt_aws,ireland_aws,189.983,22.149,0.02,0.4217,0.9579,0.9333,0.771,0.5527,0.8878,0.8724
frankfurt_aws,london_aws,291.45,13.025,0.02,0.6508,0.9848,0.9333,0.8563,0.7279,0.9366,0.9044
frankfurt_aws,mumbai_aws,65.389,111.03,0.086,0.1404,0.6954,0.4933,0.443,0.2539,0.6008,0.4744
frankfurt_aws,northcalifornia_aws,61.576,146.04,0.02,0.1318,0.592,0.9333,0.5524,0.2895,0.5771,0.7904
frankfurt_aws,northvirginia_aws,109.627,88.054,0.02,0.2403,0.7633,0.9333,0.6456,0.3923,0.7192,0.8254
frankfurt_aws,ohio_aws,70.331,96.771,0.02,0.1516,0.7375,0.9333,0.6075,0.3226,0.6887,0.8111
frankfurt_aws,oregon_aws,70.092,159.02,0.02,0.1511,0.5537,0.9333,0.546,0.2992,0.5508,0.7881
frankfurt_aws,paris_aws,303.37,10.597,0.02,0.6777,0.992,0.9333,0.8677,0.7489,0.9454,0.9087
