dc1,dc2,avgBW,avgLatency,avgCostPerGB,normBW,normLatency,normCost,normEqualWeights,norm75BW,norm75Latency,norm75Cost
frankfurt_aws,frankfurt_google,536.08,1.573,0.082,0.628,1,0.6853,0.7711,0.6817,0.9142,0.7175
frankfurt_aws,london_aws,291.45,13.025,0.02,0.3397,0.9704,1,0.77,0.5011,0.8953,0.9138
frankfurt_aws,london_google,55.816,12.721,0.082,0.062,0.9712,0.6853,0.5728,0.2536,0.8218,0.6431
frankfurt_aws,mumbai_aws,65.389,111.03,0.086,0.0733,0.7169,0.665,0.4851,0.2277,0.63,0.5975
frankfurt_aws,mumbai_google,20.3247,352.01,0.082,0.0202,0.0936,0.6853,0.2664,0.1125,0.1584,0.5282
frankfurt_aws,northvirginia_aws,109.627,88.054,0.02,0.1254,0.7763,1,0.6339,0.3161,0.7229,0.8627
frankfurt_aws,northvirginia_google,15.6423,86.981,0.082,0.0147,0.7791,0.6853,0.493,0.1941,0.6718,0.6132
frankfurt_aws,oregon_aws,70.092,159.02,0.02,0.0789,0.5927,1,0.5572,0.2583,0.5794,0.834
frankfurt_aws,oregon_google,15.231,143.13,0.082,0.0142,0.6338,0.6853,0.4444,0.1755,0.5628,0.595
frankfurt_aws,saopaulo_aws,16.1348,224.06,0.16,0.0153,0.4245,0.2893,0.243,0.1007,0.3564,0.272
frankfurt_aws,saopaulo_google,18.6292,215.44,0.082,0.0182,0.4468,0.6853,0.3834,0.1552,0.423,0.5721
frankfurt_aws,singapore_aws,65.9351,169,0.09,0.074,0.5669,0.6447,0.4285,0.207,0.515,0.5636
frankfurt_aws,singapore_google,32.0548,292.02,0.082,0.034,0.2487,0.6853,0.3227,0.1422,0.2764,0.5493
frankfurt_aws,sydney_aws,41.7456,282.09,0.14,0.0455,0.2744,0.3909,0.2369,0.1173,0.2603,0.3332
frankfurt_aws,sydney_google,38.5431,278.01,0.152,0.0417,0.285,0.3299,0.2189,0.1081,0.2602,0.2883
frankfurt_aws,tokyo_aws,48.1229,250.88,0.09,0.053,0.3551,0.6447,0.3509,0.1647,0.3535,0.5345
frankfurt_aws,tokyo_google,31.4175,238.21,0.082,0.0333,0.3879,0.6853,0.3688,0.1591,0.3808,0.5666
frankfurt_google,frankfurt_aws,698.27,1.5793,0.075,0.8191,1,0.7208,0.8466,0.8294,0.9425,0.768
frankfurt_google,london_aws,234.08,13.549,0.075,0.2721,0.969,0.7208,0.654,0.4153,0.8509,0.6957
frankfurt_google,london_google,99.973,12.765,0.082,0.1141,0.9711,0.6853,0.5902,0.2926,0.8282,0.6496
frankfurt_google,mumbai_aws,37.9213,234.01,0.084,0.0409,0.3988,0.6751,0.3716,0.1649,0.3886,0.5613
frankfurt_google,mumbai_google,50.3944,349.99,0.082,0.0556,0.0988,0.6853,0.2799,0.1397,0.1667,0.5333
frankfurt_google,northvirginia_aws,83.99,87.979,0.075,0.0952,0.7765,0.7208,0.5308,0.2586,0.6844,0.6496
frankfurt_google,northvirginia_google,31.756,87.053,0.082,0.0337,0.7789,0.6853,0.4993,0.2083,0.674,0.6156
frankfurt_google,oregon_aws,72.892,143.22,0.075,0.0822,0.6336,0.7208,0.4789,0.231,0.5756,0.6301
frankfurt_google,oregon_google,64.859,143.79,0.082,0.0727,0.6321,0.6853,0.4634,0.2192,0.5688,0.6021
frankfurt_google,saopaulo_aws,47.3443,216.82,0.217,0.052,0.4432,0,0.1651,0.0944,0.3389,0.0619
frankfurt_google,saopaulo_google,54.5296,215.51,0.082,0.0605,0.4466,0.6853,0.3975,0.1869,0.4282,0.5774
frankfurt_google,singapore_aws,39.9395,292.03,0.085,0.0433,0.2487,0.6701,0.3207,0.1473,0.2757,0.5391
frankfurt_google,singapore_google,32.7138,291.06,0.082,0.0348,0.2512,0.6853,0.3238,0.1432,0.2784,0.5497
frankfurt_google,sydney_aws,52.3855,277.27,0.096,0.058,0.2869,0.6142,0.3197,0.1561,0.2992,0.5038
frankfurt_google,sydney_google,14.7654,277.02,0.152,0.0137,0.2875,0.3299,0.2104,0.0874,0.2586,0.2851
frankfurt_google,tokyo_aws,56.7821,230.95,0.088,0.0632,0.4067,0.6548,0.3749,0.1801,0.3948,0.5498
frankfurt_google,tokyo_google,55.2856,228.34,0.082,0.0614,0.4134,0.6853,0.3867,0.1834,0.4034,0.5733
london_aws,frankfurt_aws,315.92,13.109,0.02,0.3686,0.9702,1,0.7796,0.5227,0.8987,0.9174
london_aws,frankfurt_google,198.16,13.541,0.082,0.2298,0.969,0.6853,0.628,0.3791,0.8411,0.6638
london_aws,london_google,757.26,2.358,0.082,0.8886,0.998,0.6853,0.8573,0.8769,0.9452,0.7498
london_aws,mumbai_aws,65.158,114.03,0.086,0.073,0.7091,0.665,0.4824,0.2265,0.6241,0.5965
london_aws,mumbai_google,19.0154,339.01,0.082,0.0187,0.1272,0.6853,0.2771,0.1156,0.1834,0.5322
london_aws,northvirginia_aws,155.935,75.838,0.02,0.18,0.8079,1,0.6626,0.361,0.7534,0.8735
london_aws,northvirginia_google,66.203,75.767,0.082,0.0743,0.8081,0.6853,0.5226,0.2424,0.701,0.6243
london_aws,oregon_aws,7.615,135.6,0.02,0.0052,0.6533,1,0.5528,0.2106,0.6156,0.8323
london_aws,oregon_google,29.6796,132.03,0.082,0.0312,0.6626,0.6853,0.4597,0.1919,0.5865,0.6007
london_aws,saopaulo_aws,33.3334,222.5,0.16,0.0355,0.4285,0.2893,0.2511,0.1164,0.362,0.275
london_aws,saopaulo_google,22.2348,204.26,0.082,0.0225,0.4757,0.6853,0.3945,0.162,0.4452,0.5762
london_aws,singapore_aws,66.3,165,0.09,0.0744,0.5773,0.6447,0.4321,0.2086,0.5229,0.565
london_aws,singapore_google,17.3446,290.02,0.082,0.0167,0.2539,0.6853,0.3186,0.1299,0.2782,0.5478
london_aws,sydney_aws,43.111,278.01,0.14,0.0471,0.285,0.3909,0.241,0.1198,0.2685,0.3347
london_aws,sydney_google,18.9147,266.03,0.152,0.0185,0.316,0.3299,0.2215,0.0946,0.2805,0.2892
london_aws,tokyo_aws,55.2012,232.03,0.09,0.0613,0.4039,0.6447,0.37,0.1771,0.3912,0.5417
london_aws,tokyo_google,30.0744,217.99,0.082,0.0317,0.4402,0.6853,0.3857,0.1645,0.4198,0.573
london_google,frankfurt_aws,206.5,12.758,0.075,0.2396,0.9711,0.7208,0.6438,0.3912,0.8484,0.6919
london_google,frankfurt_google,557.313,14.479,0.082,0.653,0.9666,0.6853,0.7683,0.6962,0.8922,0.7164
london_google,london_aws,851.75,2.4732,0.075,1,0.9977,0.7208,0.9062,0.9648,0.9634,0.7903
london_google,mumbai_aws,43.7007,235.05,0.084,0.0478,0.3961,0.6751,0.373,0.1698,0.3874,0.5618
london_google,mumbai_google,52.0692,339.94,0.082,0.0576,0.1248,0.6853,0.2892,0.1445,0.1865,0.5368
london_google,northvirginia_aws,108.927,75.548,0.075,0.1246,0.8087,0.7208,0.5514,0.2846,0.7122,0.6573
london_google,northvirginia_google,46.51,76.809,0.082,0.0511,0.8054,0.6853,0.5139,0.2247,0.6961,0.621
london_google,oregon_aws,70.011,133.01,0.075,0.0788,0.66,0.7208,0.4865,0.2317,0.595,0.633
london_google,oregon_google,40.45,131.03,0.082,0.0439,0.6651,0.6853,0.4648,0.2017,0.59,0.6026
london_google,saopaulo_aws,41.9911,205.03,0.217,0.0457,0.4737,0,0.1731,0.0935,0.361,0.0649
london_google,saopaulo_google,78.6286,204.3,0.082,0.0889,0.4756,0.6853,0.4166,0.2118,0.4535,0.5845
london_google,singapore_aws,40.3408,282.05,0.085,0.0438,0.2745,0.6701,0.3295,0.1509,0.2951,0.5424
london_google,singapore_google,54.2844,278.15,0.082,0.0602,0.2846,0.6853,0.3434,0.1664,0.3066,0.5571
london_google,sydney_aws,49.8864,266.06,0.096,0.055,0.3159,0.6142,0.3284,0.1575,0.3206,0.507
london_google,sydney_google,23.7824,265.87,0.152,0.0243,0.3164,0.3299,0.2235,0.099,0.2816,0.29
london_google,tokyo_aws,56.8056,219.35,0.088,0.0632,0.4367,0.6548,0.3849,0.1838,0.4173,0.5536
london_google,tokyo_google,76.3886,216.24,0.082,0.0863,0.4447,0.6853,0.4054,0.206,0.43,0.5804
mumbai_aws,frankfurt_aws,56.221,111.5,0.02,0.0625,0.7157,1,0.5927,0.2613,0.6696,0.8473
mumbai_aws,frankfurt_google,10.6764,234.02,0.082,0.0088,0.3988,0.6853,0.3643,0.1421,0.3859,0.5649
mumbai_aws,london_aws,48.233,112.09,0.02,0.0531,0.7141,1,0.5891,0.2541,0.6672,0.8459
mumbai_aws,london_google,11.321,234.27,0.082,0.0096,0.3981,0.6853,0.3643,0.1426,0.3854,0.5649
mumbai_aws,mumbai_google,720.58,4.7311,0.082,0.8454,0.9918,0.6853,0.8408,0.8437,0.9352,0.7436
mumbai_aws,northvirginia_aws,39.01,182.3,0.02,0.0422,0.5325,1,0.5249,0.2232,0.5296,0.8218
mumbai_aws,northvirginia_google,12.9584,236.37,0.082,0.0115,0.3927,0.6853,0.3632,0.1434,0.3816,0.5645
mumbai_aws,oregon_aws,46.1577,222.26,0.02,0.0507,0.4292,1,0.4933,0.2167,0.4532,0.81
mumbai_aws,oregon_google,11.5928,234.01,0.082,0.0099,0.3988,0.6853,0.3647,0.1429,0.386,0.5651
mumbai_aws,saopaulo_aws,3.1769,317.98,0.16,0,0.1816,0.2893,0.157,0.0589,0.1724,0.2397
mumbai_aws,saopaulo_google,18.2479,359.89,0.082,0.0178,0.0732,0.6853,0.2588,0.1082,0.1428,0.5254
mumbai_aws,singapore_aws,71.367,54.55,0.09,0.0804,0.863,0.6447,0.5294,0.2488,0.7379,0.6014
mumbai_aws,singapore_google,98.488,59.156,0.082,0.1123,0.8511,0.6853,0.5496,0.2763,0.738,0.6344
