dc1,dc2,avgBW,avgLatency,avgCostPerGB,normBW,normLatency,normCost,normEqualWeights,norm75BW,norm75Latency,norm75Cost
frankfurt_google,london_google,99.973,12.765,0.082,0.1663,1,1,0.7221,0.3747,0.8958,0.8958
frankfurt_google,mumbai_google,50.3944,349.99,0.082,0.0759,0.0849,1,0.3869,0.1925,0.1982,0.7701
frankfurt_google,northvirginia_google,31.756,87.053,0.082,0.0419,0.7984,1,0.6134,0.2562,0.729,0.855
frankfurt_google,oregon_google,64.859,143.79,0.082,0.1023,0.6445,1,0.5823,0.2823,0.6212,0.8434
frankfurt_google,saopaulo_google,54.5296,215.51,0.082,0.0834,0.4498,1,0.5111,0.2438,0.4728,0.8166
frankfurt_google,singapore_google,32.7138,291.06,0.082,0.0437,0.2448,1,0.4295,0.1884,0.3141,0.7861
frankfurt_google,sydney_google,14.7654,277.02,0.152,0.0109,0.2829,0,0.0979,0.0435,0.2135,0.0367
frankfurt_google,tokyo_google,55.2856,228.34,0.082,0.0848,0.415,1,0.4999,0.2405,0.4468,0.8125
london_google,frankfurt_google,557.313,14.479,0.082,1,0.9953,1,0.9984,0.9994,0.9965,0.9994
london_google,mumbai_google,52.0692,339.94,0.082,0.0789,0.1122,1,0.397,0.1982,0.219,0.7739
london_google,northvirginia_google,46.51,76.809,0.082,0.0688,0.8262,1,0.6317,0.2799,0.7533,0.8619
london_google,oregon_google,40.45,131.03,0.082,0.0578,0.6791,1,0.579,0.2532,0.6416,0.8421
london_google,saopaulo_google,78.6286,204.3,0.082,0.1274,0.4803,1,0.5359,0.2806,0.5012,0.826
london_google,singapore_google,54.2844,278.15,0.082,0.083,0.2799,1,0.4543,0.2222,0.3453,0.7954
london_google,sydney_google,23.7824,265.87,0.152,0.0274,0.3132,0,0.1135,0.0597,0.2383,0.0426
london_google,tokyo_google,76.3886,216.24,0.082,0.1233,0.4479,1,0.5237,0.2735,0.4763,0.8214
mumbai_google,frankfurt_google,34.1788,350.01,0.082,0.0463,0.0849,1,0.3771,0.1703,0.1945,0.7664
mumbai_google,london_google,46.6855,339.03,0.082,0.0691,0.1146,1,0.3946,0.1911,0.2196,0.773
mumbai_google,northvirginia_google,61.0894,270.46,0.082,0.0954,0.3007,1,0.4654,0.2341,0.3625,0.7995
mumbai_google,oregon_google,48.7396,209.56,0.082,0.0729,0.466,1,0.513,0.2379,0.4836,0.8174
mumbai_google,saopaulo_google,43.4142,381.15,0.082,0.0632,0.0004,1,0.3545,0.1724,0.1332,0.758
mumbai_google,singapore_google,99.08,60.137,0.082,0.1646,0.8715,1,0.6787,0.3574,0.7992,0.8795
mumbai_google,sydney_google,43.7204,151.01,0.152,0.0637,0.6249,0,0.2295,0.1259,0.4766,0.0861
mumbai_google,tokyo_google,60.975,126.93,0.082,0.0952,0.6902,1,0.5951,0.2827,0.6546,0.8482
northvirginia_google,frankfurt_google,62.757,87.031,0.082,0.0984,0.7985,1,0.6323,0.2986,0.7362,0.8621
northvirginia_google,london_google,71.701,74.599,0.082,0.1147,0.8322,1,0.649,0.315,0.7635,0.8684
northvirginia_google,mumbai_google,60.9784,270.09,0.082,0.0952,0.3017,1,0.4656,0.2341,0.3632,0.7996
northvirginia_google,oregon_google,63.149,62.808,0.082,0.0991,0.8642,1,0.6544,0.3074,0.7855,0.8704
northvirginia_google,saopaulo_google,125.775,129.84,0.082,0.2133,0.6823,1,0.6319,0.3703,0.6634,0.862
northvirginia_google,singapore_google,79.0093,210.53,0.082,0.1281,0.4633,1,0.5305,0.279,0.4885,0.8239
northvirginia_google,sydney_google,44.4387,196.29,0.152,0.065,0.502,0,0.189,0.1115,0.3846,0.0709
northvirginia_google,tokyo_google,107.9379,149.02,0.082,0.1808,0.6303,1,0.6037,0.3394,0.6203,0.8514
oregon_google,frankfurt_google,76.039,144.1,0.082,0.1226,0.6436,1,0.5887,0.2974,0.623,0.8458
oregon_google,london_google,64.778,131.04,0.082,0.1021,0.679,1,0.5937,0.2864,0.647,0.8476
oregon_google,mumbai_google,79.0456,209.14,0.082,0.1281,0.4671,1,0.5317,0.2795,0.4913,0.8244
oregon_google,northvirginia_google,159.888,62.037,0.082,0.2755,0.8663,1,0.7139,0.4399,0.8092,0.8927
oregon_google,saopaulo_google,96.7182,172.32,0.082,0.1603,0.567,1,0.5758,0.3161,0.5703,0.8409
oregon_google,singapore_google,106.4638,150.05,0.082,0.1781,0.6275,1,0.6019,0.337,0.6179,0.8507
oregon_google,sydney_google,75.109,160.07,0.152,0.1209,0.6003,0,0.2404,0.1657,0.4653,0.0901
oregon_google,tokyo_google,138.492,88.803,0.082,0.2365,0.7937,1,0.6767,0.4016,0.7498,0.8788
saopaulo_google,frankfurt_google,13.569,215.37,0.082,0.0088,0.4502,1,0.4863,0.1879,0.4638,0.8074
saopaulo_google,london_google,16.1936,203.99,0.082,0.0135,0.4811,1,0.4982,0.1953,0.4875,0.8118
saopaulo_google,mumbai_google,12.2524,381.28,0.082,0.0064,0,1,0.3355,0.1298,0.1258,0.7508
saopaulo_google,northvirginia_google,15.62,129.68,0.082,0.0125,0.6827,1,0.5651,0.2197,0.6386,0.8369
saopaulo_google,oregon_google,14.0256,172.24,0.082,0.0096,0.5672,1,0.5256,0.2031,0.5516,0.8221
saopaulo_google,singapore_google,10.7646,321.99,0.082,0.0036,0.1609,1,0.3882,0.1478,0.2461,0.7706
saopaulo_google,sydney_google,8.765,305.05,0.152,0,0.2069,0,0.069,0.0259,0.1552,0.0259
saopaulo_google,tokyo_google,13.8345,259.67,0.082,0.0092,0.33,1,0.4464,0.1732,0.3737,0.7924
singapore_google,frankfurt_google,56.7792,291.02,0.082,0.0875,0.2449,1,0.4441,0.2212,0.3196,0.7916
singapore_google,london_google,59.2184,279.96,0.082,0.092,0.2749,1,0.4556,0.2284,0.3427,0.7959
singapore_google,mumbai_google,106.513,60.109,0.082,0.1782,0.8715,1,0.6832,0.3676,0.8009,0.8812
singapore_google,northvirginia_google,78.9814,211.01,0.082,0.128,0.462,1,0.53,0.2788,0.4875,0.8238
singapore_google,oregon_google,78.9506,150.03,0.082,0.1279,0.6275,1,0.5851,0.2994,0.6116,0.8444
singapore_google,saopaulo_google,44.4754,322.09,0.082,0.0651,0.1606,1,0.4086,0.1939,0.2536,0.7782
singapore_google,sydney_google,108.68,91.797,0.152,0.1821,0.7855,0,0.3225,0.2348,0.6119,0.121
singapore_google,tokyo_google,173.097,67.979,0.082,0.2996,0.8502,1,0.7166,0.456,0.8001,0.8937
sydney_google,frankfurt_google,53.2344,277,0.152,0.0811,0.283,0,0.1214,0.0962,0.2224,0.0455
sydney_google,london_google,61.3244,265.71,0.152,0.0958,0.3136,0,0.1365,0.111,0.2472,0.0512
sydney_google,mumbai_google,108.552,151.02,0.152,0.1819,0.6248,0,0.2689,0.2145,0.4913,0.1008
sydney_google,northvirginia_google,82.3186,195.11,0.152,0.1341,0.5052,0,0.2131,0.1637,0.3957,0.0799
sydney_google,oregon_google,91.763,160.86,0.152,0.1513,0.5981,0,0.2498,0.1882,0.4675,0.0937
sydney_google,saopaulo_google,54.1818,304.94,0.152,0.0828,0.2072,0,0.0967,0.088,0.1657,0.0362
sydney_google,singapore_google,179.72,91.734,0.152,0.3117,0.7857,0,0.3658,0.332,0.6282,0.1372
sydney_google,tokyo_google,144.712,113.8,0.152,0.2478,0.7258,0,0.3245,0.2766,0.5753,0.1217
tokyo_google,frankfurt_google,64.3026,228.54,0.082,0.1012,0.4145,1,0.5052,0.2527,0.4485,0.8145
tokyo_google,london_google,38.1776,217.2,0.082,0.0536,0.4452,1,0.4996,0.2208,0.4656,0.8124
tokyo_google,mumbai_google,47.432,126.13,0.082,0.0705,0.6924,1,0.5876,0.2644,0.6531,0.8454
tokyo_google,northvirginia_google,111.071,149.2,0.082,0.1865,0.6298,1,0.6054,0.3436,0.6207,0.852
tokyo_google,oregon_google,32.515,88.686,0.082,0.0433,0.794,1,0.6124,0.2567,0.7259,0.8547
tokyo_google,saopaulo_google,46.7454,259.71,0.082,0.0692,0.3299,1,0.4664,0.2181,0.3811,0.7999
tokyo_google,singapore_google,59.03,67.575,0.082,0.0916,0.8513,1,0.6476,0.3001,0.7749,0.8679
tokyo_google,sydney_google,26.846,113.83,0.152,0.033,0.7258,0,0.2529,0.1155,0.5485,0.0948
